Station Name;Station ID;Date;Average temperature (degrees Celsius)
Strømtangen Fyr;SN17000;01.01.2000;0.8
Strømtangen Fyr;SN17000;02.01.2000;4.3
Strømtangen Fyr;SN17000;03.01.2000;4.8
Strømtangen Fyr;SN17000;04.01.2000;4.6
Strømtangen Fyr;SN17000;05.01.2000;4
Strømtangen Fyr;SN17000;06.01.2000;5.7
Strømtangen Fyr;SN17000;07.01.2000;5.2
Strømtangen Fyr;SN17000;08.01.2000;6.1
Strømtangen Fyr;SN17000;09.01.2000;4.6
Strømtangen Fyr;SN17000;10.01.2000;4.1
Strømtangen Fyr;SN17000;11.01.2000;5
Strømtangen Fyr;SN17000;12.01.2000;4.4
Strømtangen Fyr;SN17000;13.01.2000;3.3
Strømtangen Fyr;SN17000;14.01.2000;0.2
Strømtangen Fyr;SN17000;15.01.2000;-0.9
Strømtangen Fyr;SN17000;16.01.2000;2.7
Strømtangen Fyr;SN17000;17.01.2000;6.8
Strømtangen Fyr;SN17000;18.01.2000;3.9
Strømtangen Fyr;SN17000;19.01.2000;2.9
Strømtangen Fyr;SN17000;20.01.2000;3.9
Strømtangen Fyr;SN17000;21.01.2000;-2.2
Strømtangen Fyr;SN17000;22.01.2000;-3
Strømtangen Fyr;SN17000;23.01.2000;-6.9
Strømtangen Fyr;SN17000;24.01.2000;-6.7
Strømtangen Fyr;SN17000;25.01.2000;-4.3
Strømtangen Fyr;SN17000;26.01.2000;-1.4
Strømtangen Fyr;SN17000;27.01.2000;3.8
Strømtangen Fyr;SN17000;28.01.2000;2.7
Strømtangen Fyr;SN17000;29.01.2000;4.7
Strømtangen Fyr;SN17000;30.01.2000;2.4
Strømtangen Fyr;SN17000;31.01.2000;-0.5
Strømtangen Fyr;SN17000;01.02.2000;-1
Strømtangen Fyr;SN17000;02.02.2000;2.5
Strømtangen Fyr;SN17000;03.02.2000;1
Strømtangen Fyr;SN17000;04.02.2000;4.7
Strømtangen Fyr;SN17000;05.02.2000;3.9
Strømtangen Fyr;SN17000;06.02.2000;5
Strømtangen Fyr;SN17000;07.02.2000;5.2
Strømtangen Fyr;SN17000;08.02.2000;2
